# Each line represents a Chinese character entry with six fields, separated by spaces.
# Fields:
# 1. Character: the Chinese character itself
# 2. Pinyin: the pronunciation of the character (in cases of 多音字, the pronunciation used in the hint is given); capitalized if part of a proper noun (e.g., yī, Shàng).
# 3. Hint: a short phrase or idiom (up to 4 characters) that helps remember or illustrate the character; the character may appear multiple times in the hint
# 4. Frequency: usage frequency from the Jun Da modern Chinese database (numerical; lower = more common)
# 5. HSK level: based on HSK 3.0 standards: numbers 1 through 6 denote HSK1–HSK6; "+" denotes HSK7–9; "n" denotes a non-HSK character
# 6. Character structure: coded number corresponding to the character's structure as sourced from Make Me a Hanzi:
#    1: ⿱ (top-bottom)  
#    2: ⿳ (top-middle-bottom)  
#    3: ⿰ (left-right)  
#    4: ⿲ (left-middle-right)  
#    5: ⿴ (enclosure)  
#    6: ⿵ (bottom enclosure)  
#    7: ⿶ (left enclosure)  
#    8: ⿸ (upper-left enclosure)  
#    9: ⿷ (upper-right enclosure)  
#    10: ⿺ (bottom-left enclosure)  
#    11: ⿹ (bottom-right enclosure)  
#    12: none (simple or single-component character)  
#    13: ⿻ (overlapping components)


喊 hǎn 大喊大叫 1183 2 3
喋 dié 喋喋不休 3633 n 3
喔 ō 喔，这样 2860 n 3
喘 chuǎn 患有哮喘 1977 + 3
喙 huì 用喙啄木 3990 n 3
喜 xǐ 我喜欢你 668 1 1
喝 hē 喝一杯酒 983 1 3
喧 xuān 大声喧闹 2778 + 3
喱 lí 咖喱牛肉 5879 n 3
喳 zhā 叽叽喳喳 3311 n 3
喵 miāo 猫喵喵叫 4550 n 3
喷 pēn 喷水池 1729 5 3
喻 yù 不言而喻 2273 + 3
喽 lóu 小喽啰 3220 n 3
嗅 xiù 狗嗅到了 2703 + 3
嗑 kē 和她唠嗑 4594 n 3
嗒 dā 嘀嗒着水 3497 n 3
嗓 sǎng 嗓子沙哑 2496 + 3
嗔 chēn 半嗔半喜 3546 n 3
嗜 shì 嗜好吸烟 2988 + 3
嗝 gé 吃完打嗝 4610 n 3
嗟 jiē 嗟叹命运 3875 n 3
嗡 wēng 蜜蜂嗡嗡 2783 n 3
嗣 sì 死后无嗣 2693 n 3
嗤 chī 嗤之以鼻 3254 n 3
嗦 suo 直打哆嗦 3089 + 3
嗨 hāi 招手说嗨 3294 n 3
嗯 en 嗯，对 2042 n 3
嗷 áo 嗷嗷待哺 4104 n 3
嗽 sòu 整夜咳嗽 2815 + 3
嘀 dí 小声嘀咕 3299 n 3
嘁 qī 嘁嘁喳喳 4513 n 3
嘈 cáo 嘈杂街道 3446 n 3
嘉 jiā 邀请嘉宾 1845 6 1
嘎 Gā 嘎嘎小姐 2852 n 3
嘘 xū 唏嘘不已 2973 n 3
嘛 ma 你在干嘛 1628 6 3
嘞 lei 好嘞！ 5655 n 3
嘟 dū 嘟嘟囔囔 2838 n 3
嘣 bēng 嘣嘣爆炸 5034 n 3
嘭 pēng 嘭嘭碰头 4443 n 3
嘱 zhǔ 他叮嘱我 2156 + 3
嘲 cháo 受人嘲笑 2325 + 3
嘴 zuǐ 给我闭嘴 1010 2 3
嘶 sī 蛇：嘶嘶 2776 n 3
嘹 liáo 歌声嘹亮 4643 n 3
嘻 xī 嘻嘻哈哈 2432 n 3
嘿 hēi 嘿哥们儿 2423 + 3
噎 yē 因噎废食 3961 n 3
噗 pū 噗噗喷气 3465 n 3
噜 lū 打呼噜 3143 n 3
噢 ō 噢，对了 2347 n 3
器 qì 放下武器 441 3 2
噩 è 做个噩梦 3408 n 13
噪 zào 交通噪音 2799 + 3
噬 shì 被火吞噬 3228 n 3
噼 pī 噼里啪啦 4309 n 3
嚎 háo 狼在嚎叫 3241 n 3
嚏 tì 打喷嚏 3897 n 3
嚓 chā 咔嚓作响 3600 n 3
嚣 xiāo 拥挤喧嚣 2982 n 2
嚷 rǎng 冲我叫嚷 2256 + 3
嚼 jué 咀嚼食物 2731 + 3
囊 náng 鱼油胶囊 2041 + 1
囔 nāng 嘟囔着 4082 n 3
囚 qiú 囚犯逃跑 2594 + 5
四 Sì 四川省 226 1 5
回 huí 春节回家 172 1 5
因 yīn 因果关系 96 2 5
团 tuán 团队合作 405 3 5
囤 tún 囤粮过冬 4543 n 5
囫 hú 囫囵吞枣 5108 n 5
园 yuán 动物园 988 2 5
困 kùn 克服困难 868 3 5
囱 cōng 烟囱冒烟 3555 + 5
围 wéi 职责范围 576 3 5
囵 lún 囫囵吞枣 5249 n 5
固 gù 固定搭配 893 4 5
国 guó 中国人 20 1 5
图 tú 图书馆 476 1 5
圃 pǔ 菊花苗圃 3472 n 5
圆 yuán 圆形硬币 1145 4 5
圈 quān 绕了一圈 1366 4 5
土 tǔ 一片土地 515 3 1
圣 shèng 圣诞节 960 6 1
在 zài 他在家里 6 1 8
圭 guī 乌拉圭 3537 n 1
地 dì 什么地方 21 1 3
圳 zhèn 深圳市 2137 n 3
场 chǎng 国际机场 249 1 3
圾 jī 垃圾桶 2634 4 3
址 zhǐ 古城遗址 1848 4 3
均 jūn 人口平均 903 4 3
坊 fáng 一座磨坊 2542 n 3
坍 tān 房屋坍塌 3515 n 3
坎 kǎn 山路坎坷 2446 n 3
坏 huài 破坏环境 832 1 3
坐 zuò 坐下休息 611 1 13
坑 kēng 挖一个坑 2242 + 3
块 kuài 一块钱 793 1 3
坚 jiān 坚持下去 748 3 1
坛 tán 网络论坛 1806 + 3
坝 bà 修建堤坝 2786 + 3
坞 wù 好莱坞 3157 n 3
坟 fén 自掘坟墓 2370 + 3
坠 zhuì 坠落下来 2279 + 1
坡 pō 在山坡上 1550 6 3
坤 kūn 扭转乾坤 2910 n 3
坦 tǎn 地势平坦 1017 5 3
坨 tuó 面条坨了 5617 n 3
坪 píng 草坪割草 2716 + 3
坯 pī 毛坯房 3788 n 3
坳 ào 山坳低谷 4450 n 3
坷 kě 坎坷不平 3872 n 3
垂 chuí 垂直线 1592 + 13
垃 lā 垃圾分类 2628 4 3
垄 lǒng 垄断市场 2336 + 1
型 xíng 小型车 556 4 1
垒 lěi 围攻堡垒 2417 + 1
垛 duò 稻草垛 4009 n 3
垢 gòu 清除污垢 3284 n 3
垣 yuán 宫殿墙垣 2948 n 3
垦 kěn 开垦荒地 3038 + 1
垫 diàn 鼠标垫 2597 + 1
垮 kuǎ 打垮敌人 2674 + 3
埂 gěng 田埂小道 4239 n 3
埃 Āi 古埃及 1121 n 3
埋 mái 设下埋伏 1640 6 3
城 chéng 那座城市 413 3 3
埔 pǔ 柬埔寨 3124 n 3
域 yù 商业区域 847 5 3
埠 bù 船到埠头 3443 n 3
培 péi 培养人才 1152 4 3
基 jī 基本知识 280 3 1
堂 táng 基督教堂 980 2 1
堆 duī 堆满了书 1370 5 3
堇 jǐn 三色堇 5758 n 1
堑 qiàn 长江天堑 3420 n 1
堕 duò 腐败堕落 2666 + 1
堡 bǎo 参观城堡 1521 + 1
堤 dī 防洪堤坝 2464 + 3
堪 kān 疲惫不堪 1811 + 3
堰 yàn 堤堰防水 3486 n 3
堵 dǔ 交通很堵 2284 4 3
塌 tā 房屋倒塌 2465 + 3
塑 sù 塑料袋 2038 4 1
塔 tǎ 金字塔 1030 6 3
塘 táng 池塘不深 2436 + 3
塞 sè 交通堵塞 1080 6 1
填 tián 填表格 1970 4 3
塾 shú 私塾老师 3867 n 1
境 jìng 保护环境 582 3 3
墅 shù 这栋别墅 2901 + 1
墓 mù 自掘坟墓 1816 6 1
墙 qiáng 粉刷墙壁 1212 2 3
增 zēng 增加产量 446 3 3
墟 xū 一片废墟 2958 + 3
墨 mò 墨水很黑 1493 6 1
墩 dūn 桥墩间隔 3553 n 3
壁 bì 隔壁邻居 1380 5 1
壑 hè 山河沟壑 3880 n 1
壕 háo 挖战壕 3077 n 3
壤 rǎng 天壤之别 2412 + 3
士 shì 博士学位 372 4 12
壬 rén 庚辛壬癸 4029 n 1
壮 zhuàng 强壮身体 1432 6 3
声 shēng 发出声音 195 2 1
壳 ké 捡贝壳 1937 + 1
壶 hú 茶壶把手 2518 6 1
壹 yī 壹贰叁肆 4652 n 1
处 chù 大有好处 206 2 10
备 bèi 准备好了 397 1 1
复 fù 恢复正常 426 2 1
夏 xià 夏天很热 1126 2 2
夕 xī 朝夕相处 2003 5 13
外 wài 对外汉语 131 1 3
多 duō 大多数人 61 1 1
夜 yè 一昼一夜 665 2 1
够 gòu 足够时间 538 2 3
大 dà 大家好 17 1 13
天 tiān 天气预报 78 1 1
太 tài 太过分了 240 1 6
夫 fū 夫唱妇随 377 3 13
夭 yāo 中途夭折 3079 n 1
央 yāng 中央公园 800 5 13
夯 hāng 夯实泥土 4574 n 1
失 shī 塞翁失马 375 3 13
头 tóu 从头开始 147 2 13
夷 yí 夏威夷 2337 + 13
夸 kuā 过于夸张 1955 + 1
夹 jiā 小心夹手 1758 5 13
夺 duó 争夺冠军 1199 6 1
奄 yǎn 奄奄一息 3462 n 1
奇 qí 我很奇怪 563 3 1
奈 nài 无可奈何 1624 5 1
奉 fèng 无私奉献 1382 6 1
奋 fèn 兴奋不已 1268 4 1
奎 Kuí 奎屯市 2608 n 1
奏 zòu 演奏乐器 1543 6 1
契 qì 配合默契 1819 + 1
奔 bēn 骏马奔驰 1285 6 1
奕 Yì 陈奕迅 3026 n 1
奖 jiǎng 你过奖了 1233 4 1
套 tào 配套设施 1091 2 1
奚 xī 遭到奚落 3395 n 1
奠 diàn 奠定基础 2656 + 1
奢 shē 奢侈品 2708 + 1
奥 Ào 奥运会 972 + 1
女 nǚ 男女老少 224 1 12
奴 nú 解放奴隶 1402 + 3
奶 nǎi 珍珠奶茶 1278 1 3
奸 jiān 强奸罪 1992 + 3
她 tā 她是女人 91 1 3
好 hǎo 好久不见 82 1 3
如 rú 尽管如此 67 2 3
妃 fēi 杨贵妃 2574 n 3
妄 wàng 痴心妄想 2097 + 1
妆 zhuāng 化妆品 2639 + 3
妇 fù 家庭主妇 932 4 3
妈 mā 爸爸妈妈 750 1 3
妊 rèn 妊娠期间 3523 n 3
妍 yán 妍丽如花 4708 n 3
妒 dù 嫉妒 2598 + 3
妓 jì 街头妓女 2777 n 3
妖 yāo 口袋妖怪 1869 + 3
妙 miào 莫名其妙 1250 6 3
妞 niū 性感妞儿 3200 n 3
妥 tuǒ 双方妥协 1840 + 1
妨 fáng 妨碍调查 1873 + 3
妩 wǔ 妩媚动人 4073 n 3
妮 nī 她叫安妮 2124 n 3
妲 Dá 妖媚妲己 4830 n 3
妹 mèi 兄弟姐妹 1185 1 3
妻 qī 娶她为妻 1076 4 1
妾 qiè 三妻四妾 3242 n 1
姆 mǔ 雇佣保姆 1061 + 3
姊 zǐ 同胞姊妹 2236 n 3
始 shǐ 现在开始 381 3 3
姐 jiě 兄弟姐妹 830 1 3
姑 gū 灰姑娘 994 3 3
姓 xìng 老百姓 1149 2 3
委 wěi 委员会 457 5 1
姗 shān 姗姗来迟 3883 n 3
姚 Yáo 他是姚明 2308 n 3
姜 jiāng 用姜调味 2394 + 1
姥 lǎo 拜访姥爷 2874 + 3
姨 yí 叔叔阿姨 2287 4 3
姬 jī 霸王别姬 2683 n 3
姹 chà 姹紫嫣红 5276 n 3
姻 yīn 婚姻仪式 2007 + 3
姿 zī 摆个姿势 1899 + 1
威 wēi 权威机构 622 6 13
娃 wá 玩具娃娃 1833 6 3
娄 lóu 他出娄子 4052 n 1
娅 yà 朱莉娅 2877 n 3
娆 ráo 妖娆妩媚 5584 n 3
娇 jiāo 娇嫩皮肤 2158 + 3
娘 niáng 小姑娘们 881 3 3
娜 Nà 李娜获胜 1584 n 3
娟 juān 字迹娟秀 2564 n 3
娠 shēn 妊娠期间 3590 n 3
娥 é 嫦娥 2784 + 3
娩 miǎn 分娩疼痛 4144 n 3
娱 yú 娱乐活动 2493 6 3
娲 wā 女娲补天 4241 n 3
娴 xián 娴熟技巧 3209 n 3
娶 qǔ 娶女为妻 2494 + 1
娼 chāng 卖淫嫖娼 3578 n 3
婆 pó 老公老婆 1347 4 1
婉 wǎn 委婉地说 2798 + 3
婊 biǎo 婊子养的 4237 n 3
婚 hūn 我结婚了 942 3 3
婢 bì 婢女侍候 3082 n 3
婪 lán 贪婪之心 3112 + 1
婴 yīng 哺乳婴儿 2115 + 1
婶 shěn 叔叔婶婶 2971 n 3
婷 Tíng 她是朱婷 3653 n 3
婿 xù 女儿女婿 3115 + 3
媒 méi 社交媒体 1506 3 3
媚 mèi 妩媚动人 2291 + 3
媛 yuàn 名媛淑女 4078 n 3
媲 pì 相媲美 3911 + 3
媳 xí 贤惠媳妇 2393 + 3
嫁 jià 她嫁给他 2063 + 3
嫂 sǎo 哥哥嫂子 2142 + 3
嫉 jí 嫉妒姐姐 2690 + 3
嫌 xián 嫌疑人 1826 6 3
嫖 piáo 卖淫嫖娼 3463 n 3
嫡 dí 嫡系子孙 3746 n 3
嫣 yān 嫣然一笑 3520 n 3
嫦 Cháng 嫦娥 3166 + 3
嫩 nèn 黎巴嫩 2500 + 3
嬉 xī 小孩嬉戏 3375 + 3
嬲 niǎo 嬲、嫐 5866 n 4
嫐 nǎo 嬲、嫐 7000 n 4
孀 shuāng 继承遗孀 4368 n 3
子 zi 生个孩子 37 1 13
孔 kǒng 孔子曰： 1289 + 3
孕 yùn 我怀孕了 2094 + 1
字 zì 我的名字 393 1 1
存 cún 鬼不存在 384 3 8
孙 sūn 孙子孙女 995 4 3
孚 fú 深孚众望 3473 n 1
孜 zī 孜然牛肉 3150 n 3
孝 xiào 孝顺父母 2116 + 8
孟 Mèng 孟子思想 1575 + 1
孢 bāo 真菌孢子 4216 n 3
季 jì 四季如春 1279 4 1
孤 gū 孤独感 1334 6 3
学 xué 好好学习 66 1 1
孩 hái 孩子玩耍 533 1 3
孪 luán 孪生弟弟 4292 + 1
孬 nāo 你是孬种 5588 n 1
孰 shú 孰能无过 3568 n 3
孵 fū 孵出小鸡 3256 + 3
孺 rú 孺子可教 4084 n 3
孽 niè 洗除罪孽 2942 n 1
宁 níng 安宁平静 1019 4 1
它 tā 它是狗 107 2 1
宅 zhái 住宅小区 1858 6 1
宇 yǔ 无限宇宙 1156 6 1
守 shǒu 保守秘密 796 4 1
安 ān 注意安全 232 2 1
宋 Sòng 宋徽宗 990 + 1
完 wán 完成任务 301 2 1
宏 hóng 宏观经济 1798 6 1
宗 zōng 宗教信仰 727 6 1
官 guān 政府官员 432 4 1
宙 zhòu 探索宇宙 1421 + 1
定 dìng 固定位置 77 2 1
宛 wǎn 宛如梦境 2528 n 1
宜 yi 很便宜 1290 2 1
宝 bǎo 宝贝儿 811 4 1
实 shí 实现目标 100 2 1
宠 chǒng 养了宠物 2422 6 1
审 shěn 最终审判 746 6 1
客 kè 客观事实 583 1 1
宣 xuān 宣布独立 770 3 1
室 shì 办公室 708 2 1
宥 yòu 宽宥自己 4707 n 1
宦 huàn 唐代宦官 2976 n 1
宪 xiàn 违反宪法 1484 + 1
宫 gōng 宫保鸡丁 982 6 1
宰 zǎi 主宰世界 2080 + 1
害 hài 伤害别人 579 3 1
宴 yàn 丰盛宴会 2155 6 1
宵 xiāo 元宵节 3131 + 1
家 jiā 一个国家 56 1 1
容 róng 好不容易 442 3 1
宽 kuān 宽边帽子 1155 4 1
宾 bīn 宾馆大厅 1534 5 1
宿 sù 学生宿舍 1752 5 1
寂 jì 感到孤寂 1739 + 1
寄 jì 寄包裹 1611 4 1
寅 yín 子丑寅卯 3422 n 1
密 mì 商业机密 591 4 1
寇 kòu 日寇侵华 2567 n 1
富 fù 丰富经验 733 3 1
寐 mèi 梦寐以求 3825 n 1
寒 hán 寒冷冬天 1297 4 1
寓 yù 公寓楼 2199 + 1
寝 qǐn 废寝忘食 2806 + 1
寞 mò 感到寂寞 2601 + 1
察 chá 我察觉到 564 3 1
寡 guǎ 寡妇重婚 2268 + 1
寥 liáo 寥寥无几 3116 + 1
寨 zhài 山寨产品 2313 + 2
寸 cùn 六英寸 1904 4 12
对 duì 判断对错 33 1 3
寺 sì 少林寺 1892 6 1
寻 xún 寻找宝藏 962 4 1
导 dǎo 领导人 343 3 1
寿 shòu 延长寿命 1615 5 8
封 fēng 一封信 871 2 3
射 shè 火箭发射 703 5 3
将 jiāng 即将开始 132 3 3
尉 wèi 陆军上尉 2126 n 3
尊 zūn 尊重别人 1134 5 1
小 xiǎo 一个小时 83 1 13
少 shǎo 必不可少 233 1 1
尔 ěr 偶尔出现 220 5 1
尖 jiān 尖锐批评 1321 6 1
尘 chén 一层灰尘 1718 + 1
尚 shàng 尚未公布 878 4 6
尝 cháng 尝试一下 1621 5 1
尤 yóu 尤其是 1099 5 13
尧 Yáo 尧天舜日 3264 n 1
尬 gà 尴尬 2729 + 10
就 jiù 那就是说 27 1 3
尴 gān 尴尬 2726 + 10
尸 shī 尸体解剖 1517 + 3
尹 Yǐn 尹明善 2885 n 13
尺 chǐ 身体尺寸 1474 4 8
尼 Ní 尼泊尔 654 + 8
尽 jǐn 尽管如此 488 3 6
尾 wěi 尾巴摇动 1282 4 8
尿 niào 糖尿病 1877 + 8
局 jú 局部信息 483 4 6
屁 pì 擦擦屁股 2295 n 8
层 céng 一层油漆 699 2 8
居 jū 城里居民 678 4 8
屈 qū 受到委屈 1684 + 8
屉 tì 在抽屉里 3127 + 8
届 jiè 本届会议 1522 5 8
屋 wū 屋顶漏水 863 3 8
屎 shǐ 拉屎撒尿 3336 n 8
屏 píng 手机屏幕 1891 6 8
屑 xiè 不屑一顾 2516 + 8
展 zhǎn 经济发展 275 3 8
属 shǔ 金属制品 610 3 8
屠 tú 屠杀平民 2171 + 8
屡 lǚ 屡次失败 2450 + 8
履 lǚ 履行诺言 1802 + 8
屯 tún 三里屯 2864 + 13
山 shān 爬过泰山 259 1 7
屹 yì 屹立不倒 3851 + 3
屿 yǔ 海上岛屿 2636 + 3
岁 suì 你几岁了 772 1 1
岂 qǐ 岂有此理 1726 + 1
岌 jí 岌岌可危 4205 n 1
岑 Cén 岑参诗风 3466 n 1
岔 chà 到岔路口 3134 + 1
岖 qū 崎岖地形 4065 n 3
岗 gǎng 工作岗位 1795 6 1
岛 dǎo 青岛啤酒 798 6 11
岩 yán 岩石标本 1423 + 1
岭 lǐng 山岭地区 2214 + 3
岳 yuè 岳父岳母 1844 + 1
岷 Mín 岷江河谷 4693 n 3
岸 àn 河的两岸 971 5 1
峙 zhì 两军对峙 3046 + 3
峡 xiá 大峡谷 1727 + 3
峦 luán 山峦起伏 3789 n 1
峨 é 巍峨悬崖 3063 n 3
峭 qiào 陡峭 2990 n 3
峰 fēng 高峰时期 1473 6 3
峻 jùn 严峻考验 2506 + 3
崇 chóng 崇拜偶像 1482 6 1
崎 qí 崎岖不平 2751 n 3
崔 Cuī 崔永元 2552 n 1
崖 yá 攀登悬崖 2247 + 1
崛 jué 重新崛起 3068 + 3
崩 bēng 精神崩溃 2178 + 1
崭 zhǎn 崭新的车 3035 + 1
崽 zǎi 母猪下崽 3712 n 1
嵌 qiàn 镶嵌工艺 2831 + 1
嵩 Sōng 中岳嵩山 3401 n 1
巅 diān 事业巅峰 3775 + 1
巍 wēi 巍峨壮丽 3201 n 1
川 chuān 四川省 1109 + 4
州 zhōu 广州市 721 + 13
巡 xún 四周巡逻 1544 + 10
巢 cháo 北京鸟巢 2298 + 1
工 gōng 隧道工程 118 1 1
左 zuǒ 一千左右 782 1 8
巧 qiǎo 巧克力 1219 3 3
巨 jù 巨无霸 913 4 9
巩 gǒng 巩固知识 2384 6 3
巫 wū 女巫诅咒 2189 + 13
差 chà 差不多 732 1 8
己 jǐ 我自己做 162 2 1
已 yǐ 已经完成 117 2 12
巳 sì 辰巳午未 3381 n 13
巴 Bā 巴基斯坦 546 4 13
巷 xiàng 大街小巷 2399 + 1
巾 jīn 织条围巾 2281 4 13
币 bì 人民币 1188 3 13
市 shì 经济市场 254 2 1
布 bù 布满星星 380 3 8
帅 shuài 帅哥美女 1888 4 3
帆 fān 一帆风顺 2459 + 3
师 shī 师范大学 333 1 3
希 xī 失去希望 508 3 1
帐 zhàng 搭起帐篷 1603 + 3
帕 pà 掏出手帕 1519 + 3
帖 tiě 网上发帖 2892 + 3
帘 lián 拉上窗帘 2458 5 1
帚 zhou 一把扫帚 3630 n 1
帛 bó 简帛书法 3682 n 1
帜 zhì 升起旗帜 2813 + 3
帝 dì 宋朝皇帝 612 6 1
带 dài 没带手机 342 2 1
帧 zhēn 书籍装帧 3563 n 3
席 xí 会议主席 894 4 8
帮 bāng 帮助别人 769 1 1
帷 wéi 落下帷幕 3448 n 3
常 cháng 非常漂亮 187 1 1
帽 mào 一顶帽子 1750 4 3
幂 mì 三次幂 5384 n 1
幅 fú 大幅度 1444 5 3
幌 huǎng 打着幌子 3243 n 3
幔 màn 地幔岩石 3538 n 3
幕 mù 中文字幕 1315 5 1
幢 zhuàng 一幢房子 2566 + 3
干 gàn 你在干嘛 353 1 1
平 píng 教育水平 215 2 13
年 nián 新年快乐 45 1 13
并 bìng 并不是 141 3 1
幸 xìng 幸福美满 902 3 1
幺 yāo 幺幺久 4505 n 12
幻 huàn 幻想小说 1417 6 3
幼 yòu 幼儿园 1577 4 3
幽 yōu 幽默感 1636 5 13
广 guǎng 见多识广 468 2 1
庄 zhuāng 偏远村庄 1024 6 8
庆 qìng 庆祝生日 1269 3 8
庇 bì 政治庇护 2793 n 8
床 chuáng 躺在床上 1068 1 8
序 xù 保持秩序 836 4 8
庐 lú 三顾茅庐 2927 n 8
库 kù 数据库 1097 5 8
应 yīng 应该道歉 144 2 8
底 dǐ 归根到底 543 3 8
庖 páo 一间庖厨 4149 n 8
店 diàn 五星酒店 1041 1 8
庙 miào 佛教寺庙 1889 + 8
庚 Gēng 舞王韩庚 3072 n 8
府 fǔ 当地政府 417 4 8
庞 páng 庞大身躯 1849 + 8
废 fèi 排放废水 1376 6 8
度 dù 调整温度 184 2 8
座 zuò 空的座位 812 2 8
庭 tíng 家庭主妇 931 2 8
庵 ān 施耐庵 3022 n 8
庶 shù 庶出子弟 3016 n 8
康 kāng 恢复健康 900 2 8
庸 yōng 不甘平庸 2148 + 8
廉 lián 物美价廉 1818 + 8
廊 láng 沿着走廊 2075 + 8
廓 kuò 先画轮廓 2911 + 8
廖 Liào 廖小红 2890 n 8
延 yán 延长时间 1103 4 1
廷 tíng 阿根廷 1626 + 10
建 jiàn 提出建议 244 3 10
廿 niàn 三月廿四 3383 n 6
开 kāi 还没开始 94 1 1
异 yì 异常天气 709 6 1
弃 qì 放弃任务 1105 5 2
弄 nòng 把它弄脏 1053 2 1
弈 yì 零和博弈 4421 + 1
弊 bì 有利有弊 2348 + 1
式 shì 韩式拌饭 303 3 11
弓 gōng 惊弓之鸟 2229 + 12
引 yǐn 引起注意 479 4 3
弗 Fú 弗兰克 1257 n 13
弘 hóng 弘扬传统 2619 + 3
弛 chí 肌肉松弛 3358 + 3
弟 dì 兄弟们 816 1 1
张 zhāng 东张西望 318 3 3
弥 mí 弥补过错 1785 + 3
弦 xián 拉紧弓弦 2258 + 3
弧 hú 弯成弧形 3062 + 3
弩 nǔ 剑拔弩张 3470 n 1
弯 wān 弯曲变形 1662 4 1
弱 ruò 意志脆弱 1038 4 3
弹 tán 对牛弹琴 632 5 3
强 qiáng 加强联系 292 3 3
弼 Bì 弼马温 3647 n 4
归 guī 无家可归 933 4 3
当 dāng 当代写作 71 2 1
录 lù 记录片 919 3 1
彗 huì 哈雷彗星 3591 n 1
彝 Yí 彝族音乐 3554 n 1
形 xíng 三角形 269 3 3
彤 tóng 红彤彤 4075 n 3
彦 Yàn 李彦宏 2559 n 1
彩 cǎi 丰富多彩 1177 3 3
彪 biāo 彪形大汉 2406 n 10
彬 bīn 彬彬有礼 2736 + 3
斌 bīn variant 2442 n
彭 péng 彭博社 1501 n 3
彰 zhāng 受到表彰 2953 + 3
影 yǐng 一部电影 390 1 3
役 yì 这场战役 1245 + 3
彻 chè 彻底打扫 1240 4 3
彼 bǐ 彼此拥抱 1256 5 3
往 wǎng 往前走 369 2 3
征 zhēng 个人特征 739 4 3
径 jìng 唯一途径 1307 6 3
待 dài 公平对待 673 3 3
很 hěn 她很瘦 138 1 3
徊 huái 上下徘徊 3003 + 3
律 lǜ 法律法规 526 4 3
徐 Xú 徐州市 1313 + 3
徒 tú 歹徒开枪 1060 6 3
得 dé 我觉得累 39 1 3
徘 pái 徘徊不前 3084 + 3
徙 xǐ 向南迁徙 3411 n 3
御 yù 防御能力 1381 + 3
循 xún 血液循环 1744 6 3
微 wēi 微笑地说 653 4 4
德 Dé 德国汉堡 256 5 3
徽 huī 安徽省 2277 + 4
心 xīn 小心点儿 90 2 12
必 bì 必须买票 248 2 13
忆 yì 记忆力 1333 5 3
忌 jì 禁忌话题 1922 + 1
忍 rěn 忍不住 1127 5 1
忏 chàn 忏悔罪行 3177 n 3
忐 tǎn 忐忑不安 4164 n 1
忑 tè 忐忑不安 4165 n 1
忖 cǔn 他思忖着 3000 n 3
志 zhì 雷锋同志 542 3 1
忘 wàng 忘记密码 1056 1 1
忙 máng 手忙脚乱 827 1 3
忠 zhōng 忠诚伙伴 1322 6 1
忡 chōng 忧心忡忡 3326 n 3
忧 yōu 不必担忧 1461 6 3
快 kuài 生日快乐 366 1 3
忱 chén 满腔热忱 3328 n 3
念 niàn 抽象概念 477 3 1
忽 hū 忽然之间 912 2 1
怀 huái 使我怀疑 762 4 3
态 tài 消极态度 528 2 1
怂 sǒng 怂恿鼓励 3702 n 1
怅 chàng 怅然若失 3409 n 3
怎 zěn 怎么办？ 382 1 1
怒 nù 愤怒地说 1143 6 1
怔 zhèng 怔怔地看 2191 n 3
怕 pà 感到害怕 631 2 3
怖 bù 恐怖片 1776 + 3
怜 lián 我真可怜 1599 5 3
思 sī 自我反思 298 2 1
怠 dài 怠慢客人 3024 + 1
怡 yí 章子怡 2519 + 3
急 jí 紧急情况 657 2 1
亟 jí variant 3619 n
怦 pēng 怦然心动 3636 n 3
性 xìng 人性化 122 3 3
怨 yuàn 抱怨不已 1637 5 1
怪 guài 性格古怪 775 3 3
怯 qiè 胆小怯懦 2488 + 3
总 zǒng 美国总统 228 3 2
恃 shì 有恃无恐 3219 n 3
恋 liàn 谈恋爱 1464 5 1
恍 huǎng 恍然大悟 2535 + 3
恐 kǒng 恐怖分子 891 3 1
恒 héng 持之以恒 1764 + 3
恕 shù 请求饶恕 2314 + 1
恙 yàng 安然无恙 3728 n 1
恢 huī 恢复正常 1364 5 3
恤 xù T恤衫 3214 + 3
恨 hèn 怀有仇恨 1295 5 3
恩 ēn 感恩节 888 6 1
恪 kè 恪守规矩 3483 n 3
恬 tián 恬静景象 3717 n 3
恭 gōng 恭喜发财 1742 + 1
息 xī 好消息 428 1 1
恰 qià 恰到好处 1308 6 3
恳 kěn 诚恳情意 2265 + 1
恶 ě 恶心想吐 792 4 1
恺 Kǎi 刘恺威 3432 n 3
恼 nǎo 烦恼的事 1704 + 3
恿 yǒng 怂恿鼓励 3913 n 1
悄 qiāo 悄悄溜出 1434 5 3
悉 Xī 澳洲悉尼 1428 5 1
悍 hàn 强悍敌人 3073 n 3
悔 huǐ 后悔不已 1853 5 3
悖 bèi 祖父悖论 3148 n 3
悚 sǒng 毛骨悚然 3552 n 3
悟 wù 恍然大悟 1668 6 3
悠 yōu 历史悠久 2055 + 1
患 huàn 患有疾病 1249 6 1
悦 yuè 身心愉悦 1995 + 3
您 nín 请您用餐 726 1 1
悬 xuán 陡峭悬崖 1879 6 1
悯 mǐn 怜悯穷人 2968 n 3
悲 bēi 感到悲哀 1166 5 1
悴 cuì 憔悴病态 3474 n 3
悸 jì 心脏悸动 3561 n 3
悻 xìng 悻悻而去 3677 n 3
悼 dào 哀悼亡者 2963 + 3
情 qíng 实际情况 120 2 3
惆 chóu 心绪惆怅 4079 n 3
